번호,공원종류,공원명,주소,경도,위도,데이터기준일자
103,근린공원,우두산공원,강원특별자치도 춘천시 우두동 산 5,127.7414865,37.91667777,2024-07-25
104,근린공원,공원,강원특별자치도 춘천시 서면 현암리 894,127.6861914,37.8869318,2024-07-25
105,근린공원,의암공원,강원특별자치도 춘천시 삼천동 산 9-3,127.7090064,37.87178601,2024-07-25
106,근린공원,석사공원,강원특별자치도 춘천시 석사동 757,127.7548281,37.86526842,2024-07-25
107,근린공원,폭포공원,강원특별자치도 춘천시 후평동 824-1,127.7534107,37.87598099,2024-07-25
108,근린공원,벌말공원,강원특별자치도 춘천시 석사동 658,127.7406709,37.85835566,2024-07-25
109,근린공원,충혼공원,강원특별자치도 춘천시 퇴계동 877,127.7234343,37.86178555,2024-07-25
110,근린공원,애막공원,강원특별자치도 춘천시 석사동 721-3,127.7577829,37.86809548,2024-07-25
111,근린공원,무릉공원,강원특별자치도 춘천시 퇴계동 990,127.7380279,37.85666868,2024-07-25
112,근린공원,지석공원,강원특별자치도 춘천시 퇴계동 997,127.7395123,37.85124566,2024-07-25
113,수변공원,공원,강원특별자치도 춘천시 효자동 680,127.7248287,37.87180552,2024-07-25
114,수변공원,제2호 수변공원,강원특별자치도 춘천시 운교동 180,127.7336681,37.87576387,2024-07-25
115,체육공원,송암공원,강원특별자치도 춘천시 송암동 산 51,127.6928312,37.85204319,2024-07-25
116,체육공원,공원,"강원특별자치도 춘천시 동내면 거두리 산1임, 동면 상걸리 산53임 일원",,,2024-07-25
117,체육공원,손흥민체육공원,강원특별자치도 춘천시 동면 감정리 736,127.7789889,37.90075792,2024-07-25
118,소공원,공원,강원특별자치도 춘천시 동면 장학리 1008-1,127.7543336,37.89256072,2024-07-25
119,소공원,공원,강원특별자치도 춘천시 동내면 학곡리 392-2,127.7583275,37.84149348,2024-07-25
120,소공원,공원,강원특별자치도 춘천시 온의동 597,127.7088438,37.86876328,2024-07-25
121,소공원,공원,강원특별자치도 춘천시 요선동 2-12,127.7290956,37.8842939,2024-07-25
122,소공원,공원,강원특별자치도 춘천시 온의동 6-22,127.7163672,37.86995283,2024-07-25
123,소공원,공원,강원특별자치도 춘천시 근화동 799-22,127.7244809,37.89088161,2024-07-25
124,소공원,공원,강원특별자치도 춘천시 소양로2가 179-20,127.7235152,37.88841125,2024-07-25
125,근린공원,스무숲공원,강원특별자치도 춘천시 퇴계동 1030,127.744547,37.84961504,2024-07-25
126,근린공원,공지조각공원,강원특별자치도 춘천시 근화동 361-1,127.713433,37.87267705,2024-07-25
127,근린공원,큰골공원,강원특별자치도 춘천시 동내면 거두리 1115,127.7588446,37.85543533,2024-07-25
128,근린공원,너울숲공원,강원특별자치도 춘천시 동면 장학리 999,127.7529605,37.89437064,2024-07-25
129,근린공원,공원(거두공원),강원특별자치도 춘천시 동내면 거두리 1156,127.7824077,37.86503648,2024-07-25
130,근린공원,공원,강원특별자치도 춘천시 남산면 창촌리 산 79-1,127.6301164,37.76628253,2024-07-25
131,근린공원,공원,강원특별자치도 춘천시 우두동 1120,127.7335414,37.91048245,2024-07-25
132,근린공원,공원,강원특별자치도 춘천시 퇴계동 1237,127.7306794,37.85669514,2024-07-25
133,역사공원,공원,강원특별자치도 춘천시 소양로2가 162,127.7245114,37.88547026,2024-07-25
134,문화공원,공원,강원특별자치도 춘천시 효자동 산 40-12,127.7294977,37.87243986,2024-07-25
135,문화공원,공원,강원특별자치도 춘천시 낙원동 95-1,127.7234131,37.8778574,2024-07-25
136,문화공원,공원,강원특별자치도 춘천시 근화동 203,127.7210844,37.88389035,2024-07-25
137,문화공원,공원,강원특별자치도 춘천시 소양로4가 90-1,127.7191182,37.8767726,2024-07-25
