테마,요약,코스정보,데이터기준일
월요일,월요일코스,소양강댐-공지천-킹카누나루터/송암스포츠타운-소양강 스카이워크,2024-11-11
화요일,화요일코스,김유정 문학촌-장절공신숭겸장군묘역-소양강댐 선착장(선착장->청평사배로이동)-청평사(청평사->춘천역 버스로 이동),2024-11-11
수요일,수요일코스,김유정역(김유정레일바이크)-양조장 예술-세계주류마켓-막국수 박물관,2024-11-11
목요일,목요일코스,구국폭포-국립춘천숲체원-삼악산호수케이블카,2024-11-11
금요일,금요일코스,춘천역-공지천-삼악산호수케이블카-킹카누나루터/송암스포츠타운-남이섬-제이드가든-엘리시안강촌리조트정문-김유정역(김유정레일바이크)-춘천역,2024-11-11
토요일,토요일코스,춘천역-레고랜드-공지천-삼악산호수케이블카-킹카누나루터/송암스포츠타운-애니메이션박물관-도립화목원ㆍ인형극장-국립춘천숲체원-소양강댐-소양강 스카이워크-춘천역,2024-11-11
일요일,일요일코스,춘천역-레고랜드-공지천-삼악산호수케이블카-킹카누나루터/송암스포츠타운-애니메이션박물관-도립화목원ㆍ인형극장-국립춘천숲체원-소양강댐-소양강 스카이워크-춘천역,2024-11-11
