시도명,시군구명,소재지도로명주소,소재지지번주소,세부설치장소,개소일자,평일운영시작시간,평일운영종료시간,주말운영시작시간,주말운영종료시간,도서비치가능수량,위도,경도,관리기관,대표전화번호,데이터기준일자
강원특별자치도,춘천시,강원특별자치도 춘천시 시청길 11(옥천동),강원특별자치도 춘천시 옥천동 111-1 춘천시청,춘천시청 2층 외부 필로티공간,2018-07-02,05:00:00,01:00:00,05:00:00,01:00:00,350,37.881102,127.729702,춘천시립도서관,033-245-5102,2025-05-02
강원특별자치도,춘천시,강원특별자치도 춘천시 영서로 2260(퇴계동),강원특별자치도 춘천시 퇴계동 633-2 남춘천역,남춘천역 1층 하부공간,2020-09-15,05:00:00,01:00:00,05:00:00,01:00:00,420,37.864039,127.723886,춘천시립도서관,033-245-5102,2025-05-02
강원특별자치도,춘천시,강원특별자치도 춘천시 옛경춘로 830-24,강원특별자치도 춘천시 삼천동 28-79 춘천시립청소년도서관,춘천시립청소년도서관 주차장,2021-07-27,00:00:00,00:00:00,00:00:00,00:00:00,400,37.870135,127.711157,춘천시립청소년도서관,033-245-5792,2025-05-02
